2026-06-12 16:07:54.846154 - FACE_LOCKED: Face locked: Jeremie
2026-06-12 16:07:54.937368 - SMILE: Smile detected (ratio: 54.18)
2026-06-12 16:07:56.361300 - SMILE: Smile detected (ratio: 47.24)
2026-06-12 16:07:58.346802 - SMILE: Smile detected (ratio: 37.51)
2026-06-12 16:08:03.569772 - HEAD_RIGHT: Moved right by 15.4px
2026-06-12 16:08:04.042603 - HEAD_RIGHT: Moved right by 11.4px
2026-06-12 16:08:07.334923 - HEAD_LEFT: Moved left by 19.7px
2026-06-12 16:08:07.415233 - HEAD_LEFT: Moved left by 13.5px
2026-06-12 16:08:08.870660 - HEAD_RIGHT: Moved right by 14.9px
2026-06-12 16:08:09.368343 - HEAD_RIGHT: Moved right by 13.4px
2026-06-12 16:08:09.650703 - HEAD_RIGHT: Moved right by 21.3px
2026-06-12 16:08:11.727797 - HEAD_LEFT: Moved left by 14.3px
2026-06-12 16:08:11.896837 - HEAD_LEFT: Moved left by 10.8px
2026-06-12 16:08:12.515966 - HEAD_RIGHT: Moved right by 17.4px
2026-06-12 16:08:12.695214 - HEAD_RIGHT: Moved right by 17.2px
2026-06-12 16:08:13.448641 - HEAD_LEFT: Moved left by 10.2px
2026-06-12 16:08:13.531747 - HEAD_LEFT: Moved left by 21.4px
2026-06-12 16:08:13.700773 - HEAD_LEFT: Moved left by 12.5px
2026-06-12 16:08:14.255530 - HEAD_LEFT: Moved left by 29.8px
2026-06-12 16:08:14.358957 - HEAD_LEFT: Moved left by 12.8px
2026-06-12 16:08:14.455163 - HEAD_LEFT: Moved left by 21.5px
2026-06-12 16:08:14.550750 - HEAD_LEFT: Moved left by 29.2px
2026-06-12 16:08:14.648629 - HEAD_LEFT: Moved left by 14.9px
2026-06-12 16:08:14.829826 - HEAD_LEFT: Moved left by 23.9px
2026-06-12 16:08:14.971892 - HEAD_LEFT: Moved left by 20.0px
2026-06-12 16:08:15.054619 - HEAD_LEFT: Moved left by 24.0px
2026-06-12 16:08:15.818904 - HEAD_LEFT: Moved left by 52.8px
2026-06-12 16:08:18.086103 - HEAD_LEFT: Moved left by 11.2px
2026-06-12 16:08:18.238288 - HEAD_LEFT: Moved left by 10.8px
2026-06-12 16:08:21.391500 - HEAD_RIGHT: Moved right by 13.3px
2026-06-12 16:08:22.442549 - HEAD_RIGHT: Moved right by 18.5px
2026-06-12 16:08:23.095514 - HEAD_RIGHT: Moved right by 13.4px
2026-06-12 16:08:23.261678 - HEAD_LEFT: Moved left by 16.4px
2026-06-12 16:08:23.601913 - HEAD_RIGHT: Moved right by 12.0px
2026-06-12 16:08:27.295206 - HEAD_LEFT: Moved left by 18.2px
2026-06-12 16:08:27.455213 - HEAD_LEFT: Moved left by 19.0px
2026-06-12 16:08:29.612078 - HEAD_LEFT: Moved left by 48.7px
2026-06-12 16:08:29.738202 - HEAD_RIGHT: Moved right by 17.8px
2026-06-12 16:08:29.815418 - HEAD_RIGHT: Moved right by 14.6px
2026-06-12 16:08:29.888450 - HEAD_RIGHT: Moved right by 20.3px
2026-06-12 16:08:32.602132 - HEAD_RIGHT: Moved right by 11.0px
2026-06-12 16:08:32.781016 - HEAD_RIGHT: Moved right by 25.4px
2026-06-12 16:08:32.935457 - HEAD_RIGHT: Moved right by 22.7px
2026-06-12 16:08:33.013840 - HEAD_RIGHT: Moved right by 11.2px
2026-06-12 16:08:33.100614 - HEAD_RIGHT: Moved right by 39.5px
2026-06-12 16:08:33.185661 - HEAD_RIGHT: Moved right by 12.6px
2026-06-12 16:08:33.265474 - HEAD_RIGHT: Moved right by 23.5px
2026-06-12 16:08:33.354448 - HEAD_RIGHT: Moved right by 11.5px
2026-06-12 16:08:33.435926 - HEAD_RIGHT: Moved right by 22.6px
2026-06-12 16:08:33.514416 - HEAD_RIGHT: Moved right by 13.1px
2026-06-12 16:08:33.595434 - HEAD_RIGHT: Moved right by 14.4px
2026-06-12 16:08:33.682436 - HEAD_RIGHT: Moved right by 23.5px
2026-06-12 16:08:33.771429 - HEAD_RIGHT: Moved right by 37.1px
2026-06-12 16:08:33.859811 - HEAD_RIGHT: Moved right by 14.6px
2026-06-12 16:08:33.943101 - HEAD_RIGHT: Moved right by 29.4px
2026-06-12 16:08:34.027829 - HEAD_RIGHT: Moved right by 15.9px
2026-06-12 16:08:34.122765 - HEAD_RIGHT: Moved right by 43.1px
2026-06-12 16:08:34.200151 - HEAD_RIGHT: Moved right by 30.4px
2026-06-12 16:08:34.295275 - HEAD_RIGHT: Moved right by 11.7px
2026-06-12 16:08:34.479050 - HEAD_RIGHT: Moved right by 25.6px
2026-06-12 16:08:34.746959 - HEAD_LEFT: Moved left by 10.1px
2026-06-12 16:08:41.253996 - HEAD_LEFT: Moved left by 129.8px
2026-06-12 16:08:41.323557 - HEAD_LEFT: Moved left by 14.4px
2026-06-12 16:08:54.989533 - HEAD_RIGHT: Moved right by 17.9px
2026-06-12 16:08:54.989533 - EYE_BLINK: Blink detected
2026-06-12 16:08:55.380151 - HEAD_LEFT: Moved left by 10.7px
2026-06-12 16:09:01.040001 - EYE_BLINK: Blink detected
2026-06-12 16:09:09.437869 - EYE_BLINK: Blink detected
2026-06-12 16:09:11.531930 - EYE_BLINK: Blink detected
2026-06-12 16:09:11.531930 - SMILE: Smile detected (ratio: 7.95)
2026-06-12 16:09:17.406953 - EYE_BLINK: Blink detected
2026-06-12 16:09:29.572718 - HEAD_RIGHT: Moved right by 13.2px
2026-06-12 16:09:34.206764 - HEAD_LEFT: Moved left by 15.7px
2026-06-12 16:10:23.295357 - HEAD_LEFT: Moved left by 10.0px
2026-06-12 16:10:23.295357 - SMILE: Smile detected (ratio: 9.76)
2026-06-12 16:10:25.305476 - SMILE: Smile detected (ratio: 16.47)
2026-06-12 16:10:27.186453 - HEAD_LEFT: Moved left by 18.7px
2026-06-12 16:10:31.039326 - SMILE: Smile detected (ratio: 22.19)
2026-06-12 16:10:56.484495 - HEAD_RIGHT: Moved right by 18.2px
2026-06-12 16:10:56.706387 - HEAD_RIGHT: Moved right by 29.7px
2026-06-12 16:10:56.948419 - HEAD_RIGHT: Moved right by 20.6px
2026-06-12 16:10:57.069525 - HEAD_RIGHT: Moved right by 15.1px
2026-06-12 16:10:57.180814 - HEAD_RIGHT: Moved right by 17.8px
2026-06-12 16:11:11.659666 - HEAD_RIGHT: Moved right by 16.0px
