2026-02-27 12:21:34.799226 - FACE_LOCKED: Face locked: Dieudonne
2026-02-27 12:21:36.283363 - HEAD_RIGHT: Moved right by 25.3px
2026-02-27 12:21:36.370514 - HEAD_RIGHT: Moved right by 73.5px
2026-02-27 12:21:36.521778 - HEAD_RIGHT: Moved right by 32.3px
2026-02-27 12:21:36.634371 - HEAD_RIGHT: Moved right by 63.7px
2026-02-27 12:21:36.749709 - HEAD_RIGHT: Moved right by 51.1px
2026-02-27 12:21:36.850145 - HEAD_RIGHT: Moved right by 61.3px
2026-02-27 12:21:36.984236 - HEAD_RIGHT: Moved right by 45.3px
2026-02-27 12:21:37.082016 - HEAD_RIGHT: Moved right by 56.9px
2026-02-27 12:21:37.180739 - HEAD_RIGHT: Moved right by 13.2px
2026-02-27 12:21:37.277704 - HEAD_RIGHT: Moved right by 69.8px
2026-02-27 12:21:37.410915 - HEAD_RIGHT: Moved right by 63.2px
2026-02-27 12:21:37.503558 - HEAD_RIGHT: Moved right by 55.3px
2026-02-27 12:21:37.677309 - HEAD_RIGHT: Moved right by 51.0px
2026-02-27 12:21:37.840937 - HEAD_RIGHT: Moved right by 22.0px
2026-02-27 12:21:37.840937 - SMILE: Smile detected (ratio: 38.39)
2026-02-27 12:21:38.704721 - HEAD_LEFT: Moved left by 185.6px
2026-02-27 12:21:38.815109 - HEAD_LEFT: Moved left by 24.5px
2026-02-27 12:21:38.904015 - HEAD_LEFT: Moved left by 56.0px
2026-02-27 12:21:38.904015 - SMILE: Smile detected (ratio: 14.67)
2026-02-27 12:21:39.019589 - HEAD_LEFT: Moved left by 28.8px
2026-02-27 12:21:39.118873 - HEAD_LEFT: Moved left by 58.0px
2026-02-27 12:21:39.217596 - HEAD_LEFT: Moved left by 38.9px
2026-02-27 12:21:39.318015 - HEAD_LEFT: Moved left by 12.6px
2026-02-27 12:21:39.416384 - HEAD_LEFT: Moved left by 63.5px
2026-02-27 12:21:39.532363 - HEAD_LEFT: Moved left by 41.2px
2026-02-27 12:21:39.647349 - HEAD_LEFT: Moved left by 53.7px
2026-02-27 12:21:39.774151 - HEAD_LEFT: Moved left by 13.3px
2026-02-27 12:21:39.916044 - HEAD_LEFT: Moved left by 88.4px
2026-02-27 12:21:40.042251 - HEAD_LEFT: Moved left by 48.0px
2026-02-27 12:21:40.166172 - HEAD_LEFT: Moved left by 10.5px
2026-02-27 12:21:40.898230 - HEAD_RIGHT: Moved right by 79.5px
2026-02-27 12:21:41.034412 - HEAD_RIGHT: Moved right by 71.1px
2026-02-27 12:21:41.170653 - HEAD_RIGHT: Moved right by 59.2px
2026-02-27 12:21:41.282291 - HEAD_RIGHT: Moved right by 40.2px
2026-02-27 12:21:41.400227 - HEAD_RIGHT: Moved right by 59.0px
2026-02-27 12:21:41.512128 - HEAD_RIGHT: Moved right by 55.2px
2026-02-27 12:21:41.604540 - HEAD_RIGHT: Moved right by 13.6px
