2026-02-27 12:19:25.245183 - FACE_LOCKED: Face locked: Dieudonne
2026-02-27 12:19:26.672341 - HEAD_RIGHT: Moved right by 54.2px
2026-02-27 12:19:26.861745 - HEAD_RIGHT: Moved right by 56.1px
2026-02-27 12:19:27.016617 - HEAD_RIGHT: Moved right by 27.3px
2026-02-27 12:19:27.156697 - HEAD_RIGHT: Moved right by 66.1px
2026-02-27 12:19:27.253414 - HEAD_RIGHT: Moved right by 76.2px
2026-02-27 12:19:27.371312 - HEAD_RIGHT: Moved right by 12.4px
2026-02-27 12:19:27.509826 - HEAD_RIGHT: Moved right by 73.1px
2026-02-27 12:19:27.588502 - HEAD_RIGHT: Moved right by 42.4px
2026-02-27 12:19:27.670148 - HEAD_RIGHT: Moved right by 15.6px
