2026-06-12 00:34:20.414799 - FACE_LOCKED: Face locked: Jeremie
2026-06-12 00:34:20.589612 - HEAD_LEFT: Moved left by 11.0px
2026-06-12 00:34:20.699038 - HEAD_RIGHT: Moved right by 25.8px
2026-06-12 00:34:21.018328 - HEAD_LEFT: Moved left by 20.4px
2026-06-12 00:34:23.285102 - HEAD_LEFT: Moved left by 20.1px
2026-06-12 00:34:23.285102 - SMILE: Smile detected (ratio: 33.37)
2026-06-12 00:34:23.456803 - HEAD_LEFT: Moved left by 33.2px
2026-06-12 00:34:23.456803 - SMILE: Smile detected (ratio: 169.75)
2026-06-12 00:34:24.197107 - SMILE: Smile detected (ratio: 78.27)
2026-06-12 00:34:24.322395 - SMILE: Smile detected (ratio: 194.80)
2026-06-12 00:34:24.436931 - HEAD_RIGHT: Moved right by 31.4px
2026-06-12 00:34:24.546463 - HEAD_RIGHT: Moved right by 50.7px
2026-06-12 00:34:24.657594 - HEAD_RIGHT: Moved right by 73.2px
2026-06-12 00:34:24.771392 - HEAD_RIGHT: Moved right by 60.7px
2026-06-12 00:34:24.886110 - HEAD_RIGHT: Moved right by 102.1px
2026-06-12 00:34:25.006096 - HEAD_RIGHT: Moved right by 42.2px
2026-06-12 00:34:25.115903 - HEAD_LEFT: Moved left by 11.5px
2026-06-12 00:34:25.115903 - SMILE: Smile detected (ratio: 14.23)
2026-06-12 00:34:33.998601 - HEAD_LEFT: Moved left by 358.8px
2026-06-12 00:34:33.998601 - SMILE: Smile detected (ratio: 32.84)
2026-06-12 00:34:34.131241 - SMILE: Smile detected (ratio: 54.17)
2026-06-12 00:34:34.804907 - HEAD_RIGHT: Moved right by 13.7px
2026-06-12 00:34:34.972211 - HEAD_RIGHT: Moved right by 13.6px
2026-06-12 00:34:43.572123 - HEAD_LEFT: Moved left by 14.9px
2026-06-12 00:34:46.087390 - HEAD_RIGHT: Moved right by 70.5px
2026-06-12 00:34:46.087390 - SMILE: Smile detected (ratio: 83.58)
2026-06-12 00:34:46.293124 - SMILE: Smile detected (ratio: 1138.54)
2026-06-12 00:34:46.671739 - HEAD_RIGHT: Moved right by 59.0px
2026-06-12 00:34:46.944029 - HEAD_RIGHT: Moved right by 21.4px
2026-06-12 00:34:47.055760 - HEAD_RIGHT: Moved right by 18.7px
2026-06-12 00:34:47.178392 - HEAD_RIGHT: Moved right by 13.6px
2026-06-12 00:34:47.359763 - HEAD_RIGHT: Moved right by 17.1px
