2026-02-06 11:40:14.689636 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 11:40:15.267166 - SMILE: Smile detected (ratio: 45.34)
2026-02-06 11:40:15.869090 - SMILE: Smile detected (ratio: 39.55)
2026-02-06 11:40:16.562551 - SMILE: Smile detected (ratio: 73.69)
2026-02-06 11:40:16.633533 - HEAD_LEFT: Moved left by 12.4px
2026-02-06 11:40:16.633533 - SMILE: Smile detected (ratio: 130.54)
2026-02-06 11:40:17.033001 - SMILE: Smile detected (ratio: 82.74)
2026-02-06 11:40:17.288382 - SMILE: Smile detected (ratio: 688.47)
2026-02-06 11:40:17.497642 - SMILE: Smile detected (ratio: 676.37)
2026-02-06 11:40:17.693948 - SMILE: Smile detected (ratio: 119.17)
2026-02-06 11:40:18.295288 - SMILE: Smile detected (ratio: 62.15)
2026-02-06 11:40:18.487815 - SMILE: Smile detected (ratio: 1232.16)
2026-02-06 11:40:18.723680 - HEAD_RIGHT: Moved right by 15.0px
2026-02-06 11:40:18.841802 - HEAD_LEFT: Moved left by 11.2px
2026-02-06 11:40:18.841802 - SMILE: Smile detected (ratio: 150.17)
2026-02-06 11:40:18.952779 - SMILE: Smile detected (ratio: 521.00)
2026-02-06 11:40:19.039807 - HEAD_LEFT: Moved left by 49.6px
2026-02-06 11:40:19.111710 - HEAD_LEFT: Moved left by 28.8px
2026-02-06 11:40:19.596880 - HEAD_RIGHT: Moved right by 14.7px
2026-02-06 11:40:19.742005 - HEAD_RIGHT: Moved right by 14.7px
2026-02-06 11:40:19.742005 - SMILE: Smile detected (ratio: 39.52)
2026-02-06 11:40:19.980300 - HEAD_RIGHT: Moved right by 10.1px
2026-02-06 11:40:20.138920 - SMILE: Smile detected (ratio: 125.36)
2026-02-06 11:40:20.463167 - HEAD_RIGHT: Moved right by 11.1px
2026-02-06 11:40:20.576300 - HEAD_RIGHT: Moved right by 10.9px
2026-02-06 11:40:20.656887 - SMILE: Smile detected (ratio: 200.65)
2026-02-06 11:40:21.129369 - SMILE: Smile detected (ratio: 142.14)
2026-02-06 11:40:21.406477 - SMILE: Smile detected (ratio: 406.94)
