2026-02-27 11:11:55.205414 - FACE_LOCKED: Face locked: Dieudonne
2026-02-27 11:11:55.368788 - SMILE: Smile detected (ratio: 449.50)
2026-02-27 11:11:55.796160 - SMILE: Smile detected (ratio: 715.72)
2026-02-27 11:11:56.015717 - SMILE: Smile detected (ratio: 375.09)
2026-02-27 11:11:56.233747 - SMILE: Smile detected (ratio: 301.69)
2026-02-27 11:11:56.411790 - SMILE: Smile detected (ratio: 114.86)
2026-02-27 11:11:56.524193 - SMILE: Smile detected (ratio: 115.03)
2026-02-27 11:11:56.580195 - SMILE: Smile detected (ratio: 205.88)
2026-02-27 11:11:56.691118 - SMILE: Smile detected (ratio: 186.32)
2026-02-27 11:11:56.804208 - HEAD_LEFT: Moved left by 19.5px
2026-02-27 11:11:56.804208 - SMILE: Smile detected (ratio: 643.69)
2026-02-27 11:11:56.979808 - HEAD_LEFT: Moved left by 15.1px
2026-02-27 11:11:57.039792 - SMILE: Smile detected (ratio: 345.69)
2026-02-27 11:11:57.152689 - HEAD_LEFT: Moved left by 21.0px
2026-02-27 11:11:57.208320 - HEAD_LEFT: Moved left by 12.9px
2026-02-27 11:11:57.275365 - HEAD_LEFT: Moved left by 69.3px
2026-02-27 11:11:57.339921 - HEAD_LEFT: Moved left by 19.7px
2026-02-27 11:11:57.339921 - SMILE: Smile detected (ratio: 280.12)
2026-02-27 11:11:57.405572 - HEAD_LEFT: Moved left by 62.7px
2026-02-27 11:11:57.467350 - HEAD_LEFT: Moved left by 21.8px
2026-02-27 11:11:57.533942 - HEAD_LEFT: Moved left by 42.7px
2026-02-27 11:11:57.629180 - HEAD_LEFT: Moved left by 48.1px
2026-02-27 11:11:57.746807 - HEAD_LEFT: Moved left by 69.7px
2026-02-27 11:12:01.201221 - HEAD_LEFT: Moved left by 14.1px
2026-02-27 11:12:01.201221 - SMILE: Smile detected (ratio: 58.42)
2026-02-27 11:12:01.490214 - HEAD_RIGHT: Moved right by 181.7px
2026-02-27 11:12:01.546733 - HEAD_RIGHT: Moved right by 40.0px
2026-02-27 11:12:01.546733 - SMILE: Smile detected (ratio: 150.47)
2026-02-27 11:12:01.607962 - HEAD_RIGHT: Moved right by 21.7px
2026-02-27 11:12:01.666994 - HEAD_RIGHT: Moved right by 80.4px
2026-02-27 11:12:01.666994 - SMILE: Smile detected (ratio: 298.36)
2026-02-27 11:12:01.736510 - HEAD_RIGHT: Moved right by 15.7px
2026-02-27 11:12:01.736510 - SMILE: Smile detected (ratio: 815.78)
2026-02-27 11:12:01.803066 - HEAD_RIGHT: Moved right by 30.1px
2026-02-27 11:12:01.998948 - SMILE: Smile detected (ratio: 459.58)
2026-02-27 11:12:02.126512 - HEAD_RIGHT: Moved right by 10.7px
2026-02-27 11:12:02.126512 - SMILE: Smile detected (ratio: 191.51)
2026-02-27 11:12:02.388360 - SMILE: Smile detected (ratio: 143.65)
2026-02-27 11:12:02.452869 - SMILE: Smile detected (ratio: 424.91)
2026-02-27 11:12:02.513856 - HEAD_RIGHT: Moved right by 23.0px
2026-02-27 11:12:02.885215 - SMILE: Smile detected (ratio: 380.59)
2026-02-27 11:12:03.077989 - SMILE: Smile detected (ratio: 491.49)
2026-02-27 11:12:03.456048 - SMILE: Smile detected (ratio: 161.34)
2026-02-27 11:12:03.581013 - SMILE: Smile detected (ratio: 193.75)
2026-02-27 11:12:03.702051 - SMILE: Smile detected (ratio: 179.08)
2026-02-27 11:12:03.831067 - SMILE: Smile detected (ratio: 308.61)
2026-02-27 11:12:04.139777 - SMILE: Smile detected (ratio: 121.26)
2026-02-27 11:12:04.263842 - SMILE: Smile detected (ratio: 184.90)
2026-02-27 11:12:04.377963 - SMILE: Smile detected (ratio: 920.81)
2026-02-27 11:12:04.493715 - SMILE: Smile detected (ratio: 93.65)
2026-02-27 11:12:04.663777 - SMILE: Smile detected (ratio: 246.47)
