2026-02-06 14:16:11.086752 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 14:16:11.651170 - HEAD_LEFT: Moved left by 10.5px
2026-02-06 14:16:12.408528 - HEAD_RIGHT: Moved right by 12.9px
2026-02-06 14:16:12.861257 - HEAD_LEFT: Moved left by 30.4px
2026-02-06 14:16:12.967486 - HEAD_LEFT: Moved left by 76.6px
2026-02-06 14:16:13.078724 - HEAD_LEFT: Moved left by 21.7px
2026-02-06 14:16:13.225097 - HEAD_LEFT: Moved left by 137.6px
2026-02-06 14:16:13.338465 - HEAD_LEFT: Moved left by 107.4px
2026-02-06 14:16:13.468597 - HEAD_RIGHT: Moved right by 752.5px
2026-02-06 14:16:13.468597 - SMILE: Smile detected (ratio: 20.53)
2026-02-06 14:16:13.578727 - HEAD_LEFT: Moved left by 57.2px
2026-02-06 14:16:13.578727 - SMILE: Smile detected (ratio: 35.49)
