2026-06-12 00:40:56.019002 - FACE_LOCKED: Face locked: Jeremie
2026-06-12 00:40:58.420551 - HEAD_LEFT: Moved left by 13.1px
2026-06-12 00:40:58.651349 - HEAD_LEFT: Moved left by 17.6px
2026-06-12 00:40:58.765137 - HEAD_LEFT: Moved left by 15.7px
2026-06-12 00:40:59.210814 - HEAD_LEFT: Moved left by 13.6px
2026-06-12 00:40:59.347461 - HEAD_LEFT: Moved left by 31.7px
2026-06-12 00:40:59.499518 - HEAD_LEFT: Moved left by 51.0px
2026-06-12 00:40:59.499518 - SMILE: Smile detected (ratio: 40.75)
2026-06-12 00:40:59.624805 - HEAD_LEFT: Moved left by 20.8px
2026-06-12 00:40:59.743246 - HEAD_LEFT: Moved left by 16.8px
2026-06-12 00:40:59.743246 - SMILE: Smile detected (ratio: 387.58)
2026-06-12 00:40:59.857713 - HEAD_LEFT: Moved left by 18.5px
2026-06-12 00:40:59.968492 - HEAD_LEFT: Moved left by 11.4px
2026-06-12 00:41:00.081154 - SMILE: Smile detected (ratio: 634.79)
2026-06-12 00:41:00.407137 - HEAD_LEFT: Moved left by 16.5px
2026-06-12 00:41:00.645814 - HEAD_LEFT: Moved left by 20.7px
2026-06-12 00:41:00.749948 - HEAD_LEFT: Moved left by 21.0px
2026-06-12 00:41:01.631194 - HEAD_RIGHT: Moved right by 18.3px
2026-06-12 00:41:01.851477 - HEAD_RIGHT: Moved right by 12.1px
2026-06-12 00:41:02.081963 - HEAD_RIGHT: Moved right by 26.1px
2026-06-12 00:41:02.081963 - SMILE: Smile detected (ratio: 361.04)
2026-06-12 00:41:02.855279 - HEAD_RIGHT: Moved right by 13.0px
2026-06-12 00:41:02.977716 - HEAD_RIGHT: Moved right by 21.7px
2026-06-12 00:41:03.112969 - HEAD_RIGHT: Moved right by 59.8px
2026-06-12 00:41:03.112969 - SMILE: Smile detected (ratio: 62.85)
2026-06-12 00:41:03.242039 - HEAD_RIGHT: Moved right by 78.9px
2026-06-12 00:41:03.399259 - HEAD_RIGHT: Moved right by 39.8px
2026-06-12 00:41:03.515021 - HEAD_LEFT: Moved left by 11.1px
2026-06-12 00:41:03.739574 - HEAD_RIGHT: Moved right by 17.4px
2026-06-12 00:41:03.864680 - HEAD_RIGHT: Moved right by 20.2px
2026-06-12 00:41:04.522857 - HEAD_RIGHT: Moved right by 18.5px
2026-06-12 00:41:04.522857 - SMILE: Smile detected (ratio: 261.47)
2026-06-12 00:41:05.284509 - HEAD_LEFT: Moved left by 13.6px
2026-06-12 00:41:05.411293 - HEAD_LEFT: Moved left by 11.3px
2026-06-12 00:41:05.559007 - HEAD_LEFT: Moved left by 22.4px
2026-06-12 00:41:06.265383 - HEAD_LEFT: Moved left by 39.1px
2026-06-12 00:41:06.265383 - SMILE: Smile detected (ratio: 165.05)
2026-06-12 00:41:06.391085 - HEAD_LEFT: Moved left by 16.1px
2026-06-12 00:41:06.565784 - HEAD_LEFT: Moved left by 37.2px
2026-06-12 00:41:06.905630 - HEAD_RIGHT: Moved right by 13.7px
2026-06-12 00:41:07.021093 - HEAD_RIGHT: Moved right by 15.4px
2026-06-12 00:41:07.021093 - SMILE: Smile detected (ratio: 89.83)
2026-06-12 00:41:07.135298 - SMILE: Smile detected (ratio: 7693.57)
2026-06-12 00:41:07.252694 - HEAD_RIGHT: Moved right by 14.9px
2026-06-12 00:41:07.357938 - HEAD_RIGHT: Moved right by 25.7px
2026-06-12 00:41:07.357938 - SMILE: Smile detected (ratio: 285.69)
2026-06-12 00:41:07.462608 - HEAD_RIGHT: Moved right by 54.8px
2026-06-12 00:41:07.585452 - HEAD_RIGHT: Moved right by 31.6px
2026-06-12 00:41:07.687029 - HEAD_RIGHT: Moved right by 65.0px
2026-06-12 00:41:07.800305 - HEAD_RIGHT: Moved right by 40.5px
2026-06-12 00:41:07.907029 - HEAD_RIGHT: Moved right by 33.4px
2026-06-12 00:41:08.239791 - HEAD_RIGHT: Moved right by 18.6px
2026-06-12 00:41:08.355454 - HEAD_RIGHT: Moved right by 26.4px
2026-06-12 00:41:08.463795 - HEAD_RIGHT: Moved right by 17.8px
2026-06-12 00:41:08.582684 - HEAD_RIGHT: Moved right by 13.5px
2026-06-12 00:41:22.351820 - HEAD_LEFT: Moved left by 11.2px
2026-06-12 00:41:24.988318 - HEAD_RIGHT: Moved right by 14.2px
2026-06-12 00:41:25.115260 - HEAD_RIGHT: Moved right by 28.3px
2026-06-12 00:41:25.232012 - HEAD_RIGHT: Moved right by 18.3px
2026-06-12 00:41:25.346204 - HEAD_RIGHT: Moved right by 19.5px
2026-06-12 00:41:28.867222 - HEAD_LEFT: Moved left by 10.4px
2026-06-12 00:41:30.418689 - HEAD_RIGHT: Moved right by 18.3px
2026-06-12 00:41:31.225284 - HEAD_LEFT: Moved left by 13.3px
2026-06-12 00:41:31.348146 - HEAD_LEFT: Moved left by 14.4px
2026-06-12 00:41:31.460986 - HEAD_LEFT: Moved left by 43.0px
2026-06-12 00:41:31.669442 - HEAD_LEFT: Moved left by 42.0px
2026-06-12 00:41:31.669442 - SMILE: Smile detected (ratio: 41.41)
2026-06-12 00:41:31.776166 - HEAD_LEFT: Moved left by 54.0px
2026-06-12 00:41:31.776166 - SMILE: Smile detected (ratio: 915.03)
2026-06-12 00:41:31.887393 - HEAD_LEFT: Moved left by 14.2px
2026-06-12 00:41:31.997784 - HEAD_LEFT: Moved left by 37.7px
2026-06-12 00:41:32.107105 - HEAD_LEFT: Moved left by 10.5px
2026-06-12 00:41:32.107105 - SMILE: Smile detected (ratio: 337.15)
2026-06-12 00:41:32.331727 - HEAD_LEFT: Moved left by 12.5px
2026-06-12 00:41:32.434169 - SMILE: Smile detected (ratio: 104.52)
2026-06-12 00:41:32.660716 - HEAD_LEFT: Moved left by 14.0px
2026-06-12 00:41:34.332310 - HEAD_LEFT: Moved left by 75.1px
2026-06-12 00:41:34.332310 - SMILE: Smile detected (ratio: 78.42)
2026-06-12 00:41:34.548571 - HEAD_LEFT: Moved left by 14.6px
2026-06-12 00:41:34.548571 - SMILE: Smile detected (ratio: 331.14)
2026-06-12 00:41:34.657486 - HEAD_LEFT: Moved left by 13.8px
2026-06-12 00:41:34.873166 - SMILE: Smile detected (ratio: 3336.73)
2026-06-12 00:41:35.191266 - HEAD_LEFT: Moved left by 12.1px
2026-06-12 00:41:35.191266 - SMILE: Smile detected (ratio: 372.54)
2026-06-12 00:41:35.303939 - HEAD_LEFT: Moved left by 12.3px
2026-06-12 00:41:35.541435 - HEAD_LEFT: Moved left by 10.7px
2026-06-12 00:41:37.612397 - SMILE: Smile detected (ratio: 76.20)
