2026-02-06 14:16:20.934523 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 14:16:21.281471 - HEAD_RIGHT: Moved right by 18.9px
2026-02-06 14:16:21.876352 - HEAD_LEFT: Moved left by 29.9px
2026-02-06 14:16:22.004528 - HEAD_LEFT: Moved left by 43.2px
2026-02-06 14:16:22.139516 - HEAD_LEFT: Moved left by 38.2px
2026-02-06 14:16:22.304607 - HEAD_LEFT: Moved left by 64.1px
2026-02-06 14:16:22.437350 - HEAD_LEFT: Moved left by 132.9px
2026-02-06 14:16:22.542287 - HEAD_RIGHT: Moved right by 839.6px
2026-02-06 14:16:22.620814 - SMILE: Smile detected (ratio: 10.83)
2026-02-06 14:16:22.698375 - HEAD_LEFT: Moved left by 17.1px
2026-02-06 14:16:22.779471 - HEAD_LEFT: Moved left by 14.2px
2026-02-06 14:16:23.410277 - HEAD_LEFT: Moved left by 952.1px
2026-02-06 14:16:23.502582 - HEAD_RIGHT: Moved right by 42.0px
2026-02-06 14:16:23.593147 - HEAD_RIGHT: Moved right by 123.9px
2026-02-06 14:16:23.672556 - HEAD_RIGHT: Moved right by 22.2px
2026-02-06 14:16:23.748871 - HEAD_RIGHT: Moved right by 76.3px
2026-02-06 14:16:23.823147 - HEAD_RIGHT: Moved right by 18.4px
2026-02-06 14:16:23.904664 - HEAD_RIGHT: Moved right by 67.5px
2026-02-06 14:16:23.976324 - HEAD_RIGHT: Moved right by 12.4px
2026-02-06 14:16:24.047530 - HEAD_RIGHT: Moved right by 33.0px
2026-02-06 14:16:24.254379 - HEAD_RIGHT: Moved right by 12.2px
2026-02-06 14:16:24.529408 - HEAD_RIGHT: Moved right by 13.2px
2026-02-06 14:16:25.282840 - HEAD_RIGHT: Moved right by 13.7px
2026-02-06 14:16:25.282840 - EYE_BLINK: Blink detected
2026-02-06 14:16:25.668280 - HEAD_RIGHT: Moved right by 11.6px
2026-02-06 14:16:26.400505 - HEAD_RIGHT: Moved right by 16.2px
