2026-06-12 00:34:07.433462 - FACE_LOCKED: Face locked: Jeremie
2026-06-12 00:34:09.470980 - HEAD_LEFT: Moved left by 10.7px
2026-06-12 00:34:09.604113 - HEAD_LEFT: Moved left by 14.0px
2026-06-12 00:34:09.730494 - HEAD_LEFT: Moved left by 23.9px
2026-06-12 00:34:09.730494 - SMILE: Smile detected (ratio: 24.34)
2026-06-12 00:34:09.850767 - HEAD_LEFT: Moved left by 38.1px
2026-06-12 00:34:09.850767 - SMILE: Smile detected (ratio: 99.48)
2026-06-12 00:34:09.962126 - HEAD_LEFT: Moved left by 54.4px
2026-06-12 00:34:09.962126 - SMILE: Smile detected (ratio: 165.26)
2026-06-12 00:34:10.382232 - HEAD_LEFT: Moved left by 14.0px
2026-06-12 00:34:10.488102 - HEAD_LEFT: Moved left by 25.9px
2026-06-12 00:34:10.706596 - HEAD_LEFT: Moved left by 34.1px
2026-06-12 00:34:10.706596 - SMILE: Smile detected (ratio: 124.79)
2026-06-12 00:34:10.817168 - HEAD_LEFT: Moved left by 18.1px
2026-06-12 00:34:10.931467 - SMILE: Smile detected (ratio: 98.48)
2026-06-12 00:34:11.043308 - HEAD_RIGHT: Moved right by 15.0px
2026-06-12 00:34:12.868718 - HEAD_RIGHT: Moved right by 340.5px
2026-06-12 00:34:12.992695 - HEAD_LEFT: Moved left by 13.5px
2026-06-12 00:34:13.137669 - HEAD_LEFT: Moved left by 76.5px
2026-06-12 00:34:13.234624 - HEAD_LEFT: Moved left by 62.2px
2026-06-12 00:34:13.350344 - HEAD_LEFT: Moved left by 47.0px
2026-06-12 00:34:13.465395 - HEAD_LEFT: Moved left by 10.6px
2026-06-12 00:34:13.574584 - HEAD_LEFT: Moved left by 45.3px
2026-06-12 00:34:13.574584 - SMILE: Smile detected (ratio: 22.00)
2026-06-12 00:34:13.683720 - HEAD_LEFT: Moved left by 21.0px
2026-06-12 00:34:13.683720 - SMILE: Smile detected (ratio: 38.27)
2026-06-12 00:34:13.789569 - SMILE: Smile detected (ratio: 190.76)
2026-06-12 00:34:14.120579 - HEAD_RIGHT: Moved right by 11.8px
2026-06-12 00:34:14.223670 - HEAD_RIGHT: Moved right by 11.4px
2026-06-12 00:34:14.425262 - HEAD_RIGHT: Moved right by 10.9px
2026-06-12 00:34:14.534730 - HEAD_RIGHT: Moved right by 13.1px
2026-06-12 00:34:15.956818 - HEAD_LEFT: Moved left by 12.1px
2026-06-12 00:34:16.071955 - HEAD_LEFT: Moved left by 10.2px
2026-06-12 00:34:16.198084 - HEAD_LEFT: Moved left by 120.1px
2026-06-12 00:34:16.198084 - SMILE: Smile detected (ratio: 172.96)
2026-06-12 00:34:16.303504 - HEAD_LEFT: Moved left by 124.7px
2026-06-12 00:34:16.417878 - HEAD_LEFT: Moved left by 105.1px
2026-06-12 00:34:17.119646 - HEAD_RIGHT: Moved right by 49.1px
2026-06-12 00:34:17.236529 - HEAD_RIGHT: Moved right by 31.2px
2026-06-12 00:34:17.351333 - HEAD_RIGHT: Moved right by 130.1px
2026-06-12 00:34:17.351333 - SMILE: Smile detected (ratio: 14.96)
2026-06-12 00:34:17.463868 - HEAD_RIGHT: Moved right by 110.1px
2026-06-12 00:34:17.463868 - SMILE: Smile detected (ratio: 37.79)
2026-06-12 00:34:17.571414 - HEAD_RIGHT: Moved right by 20.5px
2026-06-12 00:34:17.683403 - HEAD_RIGHT: Moved right by 70.0px
2026-06-12 00:34:17.797423 - HEAD_RIGHT: Moved right by 28.8px
2026-06-12 00:34:17.900581 - HEAD_RIGHT: Moved right by 14.1px
2026-06-12 00:34:18.012497 - HEAD_LEFT: Moved left by 19.9px
2026-06-12 00:34:18.329360 - HEAD_LEFT: Moved left by 14.1px
2026-06-12 00:34:18.440742 - HEAD_LEFT: Moved left by 17.5px
2026-06-12 00:34:18.652877 - HEAD_RIGHT: Moved right by 21.8px
2026-06-12 00:34:18.889174 - HEAD_LEFT: Moved left by 10.3px
