2026-02-27 12:18:49.146066 - FACE_LOCKED: Face locked: Dieudonne
2026-02-27 12:18:50.359025 - HEAD_LEFT: Moved left by 11.1px
2026-02-27 12:18:50.644811 - HEAD_RIGHT: Moved right by 62.6px
2026-02-27 12:18:50.777028 - HEAD_RIGHT: Moved right by 54.2px
2026-02-27 12:18:50.958563 - HEAD_RIGHT: Moved right by 50.1px
2026-02-27 12:18:51.069298 - HEAD_RIGHT: Moved right by 60.2px
2026-02-27 12:18:51.168844 - HEAD_RIGHT: Moved right by 37.0px
2026-02-27 12:18:51.259562 - HEAD_RIGHT: Moved right by 56.8px
2026-02-27 12:18:51.341093 - HEAD_RIGHT: Moved right by 10.9px
2026-02-27 12:18:51.433779 - HEAD_RIGHT: Moved right by 32.1px
2026-02-27 12:18:51.535009 - HEAD_RIGHT: Moved right by 10.1px
2026-02-27 12:18:51.642207 - HEAD_RIGHT: Moved right by 40.5px
2026-02-27 12:18:51.760680 - HEAD_RIGHT: Moved right by 15.4px
2026-02-27 12:18:51.899296 - HEAD_RIGHT: Moved right by 28.3px
2026-02-27 12:18:52.036529 - HEAD_RIGHT: Moved right by 47.0px
2026-02-27 12:18:52.192262 - HEAD_RIGHT: Moved right by 45.1px
2026-02-27 12:18:52.344200 - HEAD_LEFT: Moved left by 11.2px
2026-02-27 12:18:52.493250 - HEAD_LEFT: Moved left by 15.1px
2026-02-27 12:18:52.636385 - HEAD_LEFT: Moved left by 172.6px
2026-02-27 12:18:52.777776 - HEAD_LEFT: Moved left by 12.1px
2026-02-27 12:18:52.884742 - HEAD_LEFT: Moved left by 44.2px
2026-02-27 12:18:52.987751 - HEAD_LEFT: Moved left by 35.7px
2026-02-27 12:18:53.081383 - HEAD_LEFT: Moved left by 42.0px
2026-02-27 12:18:53.204322 - HEAD_LEFT: Moved left by 15.2px
2026-02-27 12:18:53.323209 - HEAD_LEFT: Moved left by 18.3px
2026-02-27 12:18:53.444083 - HEAD_LEFT: Moved left by 57.7px
2026-02-27 12:18:53.582772 - HEAD_LEFT: Moved left by 37.5px
2026-02-27 12:18:53.700524 - HEAD_LEFT: Moved left by 42.0px
2026-02-27 12:18:53.871387 - HEAD_LEFT: Moved left by 48.7px
2026-02-27 12:18:53.996369 - HEAD_LEFT: Moved left by 48.0px
2026-02-27 12:18:54.133764 - HEAD_LEFT: Moved left by 44.9px
2026-02-27 12:18:54.265589 - HEAD_LEFT: Moved left by 39.5px
2026-02-27 12:18:54.410637 - HEAD_LEFT: Moved left by 29.8px
2026-02-27 12:18:55.121979 - HEAD_RIGHT: Moved right by 29.2px
2026-02-27 12:18:55.291866 - HEAD_RIGHT: Moved right by 53.6px
2026-02-27 12:18:55.419953 - HEAD_RIGHT: Moved right by 61.3px
2026-02-27 12:18:55.548333 - HEAD_RIGHT: Moved right by 46.3px
2026-02-27 12:18:55.714723 - HEAD_RIGHT: Moved right by 60.3px
2026-02-27 12:18:55.842817 - HEAD_RIGHT: Moved right by 28.4px
2026-02-27 12:18:55.944232 - HEAD_RIGHT: Moved right by 73.4px
2026-02-27 12:18:56.039460 - HEAD_RIGHT: Moved right by 13.2px
2026-02-27 12:18:56.154305 - HEAD_RIGHT: Moved right by 59.3px
2026-02-27 12:18:56.404953 - HEAD_RIGHT: Moved right by 42.8px
2026-02-27 12:18:56.529957 - HEAD_RIGHT: Moved right by 47.5px
2026-02-27 12:18:56.681878 - HEAD_RIGHT: Moved right by 94.9px
2026-02-27 12:18:56.880534 - HEAD_RIGHT: Moved right by 64.4px
2026-02-27 12:18:57.020948 - HEAD_RIGHT: Moved right by 27.9px
2026-02-27 12:18:57.142884 - HEAD_RIGHT: Moved right by 65.6px
2026-02-27 12:18:57.254025 - HEAD_LEFT: Moved left by 789.5px
2026-02-27 12:18:57.254025 - SMILE: Smile detected (ratio: 27.74)
2026-02-27 12:18:58.099819 - HEAD_RIGHT: Moved right by 609.4px
2026-02-27 12:18:58.181399 - HEAD_LEFT: Moved left by 46.8px
2026-02-27 12:18:58.286926 - HEAD_LEFT: Moved left by 11.4px
2026-02-27 12:18:59.185713 - HEAD_LEFT: Moved left by 49.3px
2026-02-27 12:18:59.325436 - HEAD_LEFT: Moved left by 55.6px
2026-02-27 12:18:59.467376 - HEAD_LEFT: Moved left by 10.2px
