2026-02-06 11:38:36.351315 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 11:38:36.462046 - HEAD_RIGHT: Moved right by 470.7px
2026-02-06 11:38:36.568842 - HEAD_LEFT: Moved left by 471.4px
2026-02-06 11:38:36.772606 - HEAD_RIGHT: Moved right by 474.0px
2026-02-06 11:38:36.772606 - SMILE: Smile detected (ratio: 4302.63)
2026-02-06 11:38:36.786195 - HEAD_LEFT: Moved left by 473.4px
2026-02-06 11:38:36.943102 - SMILE: Smile detected (ratio: 69.75)
2026-02-06 11:38:37.956816 - SMILE: Smile detected (ratio: 39.87)
2026-02-06 11:38:38.276078 - SMILE: Smile detected (ratio: 749.83)
2026-02-06 11:38:38.481293 - SMILE: Smile detected (ratio: 1155.21)
2026-02-06 11:38:38.560191 - SMILE: Smile detected (ratio: 163203.36)
2026-02-06 11:38:38.716037 - SMILE: Smile detected (ratio: 299.24)
2026-02-06 11:38:39.000411 - SMILE: Smile detected (ratio: 123.45)
2026-02-06 11:38:39.162965 - SMILE: Smile detected (ratio: 1443.16)
2026-02-06 11:38:39.779066 - SMILE: Smile detected (ratio: 89.44)
2026-02-06 11:38:40.020663 - SMILE: Smile detected (ratio: 125.78)
2026-02-06 11:38:40.180163 - SMILE: Smile detected (ratio: 976.20)
2026-02-06 11:38:40.334096 - SMILE: Smile detected (ratio: 87.49)
2026-02-06 11:38:40.495800 - SMILE: Smile detected (ratio: 144.98)
2026-02-06 11:38:40.576102 - SMILE: Smile detected (ratio: 1093.76)
2026-02-06 11:38:40.733194 - SMILE: Smile detected (ratio: 318.51)
2026-02-06 11:38:41.055982 - SMILE: Smile detected (ratio: 303.50)
2026-02-06 11:38:41.214402 - SMILE: Smile detected (ratio: 189.07)
2026-02-06 11:38:41.652882 - SMILE: Smile detected (ratio: 59.00)
2026-02-06 11:38:41.810195 - SMILE: Smile detected (ratio: 204.83)
2026-02-06 11:38:41.897149 - SMILE: Smile detected (ratio: 898.33)
2026-02-06 11:38:42.062275 - SMILE: Smile detected (ratio: 503.60)
2026-02-06 11:38:42.227915 - SMILE: Smile detected (ratio: 187.19)
