2026-06-12 00:56:25.838437 - FACE_LOCKED: Face locked: Jeremie
2026-06-12 00:56:27.697744 - SMILE: Smile detected (ratio: 70.64)
2026-06-12 00:56:27.826888 - SMILE: Smile detected (ratio: 489.47)
2026-06-12 00:56:27.954052 - HEAD_RIGHT: Moved right by 31.2px
2026-06-12 00:56:28.077734 - HEAD_RIGHT: Moved right by 10.2px
2026-06-12 00:56:28.530962 - HEAD_RIGHT: Moved right by 28.7px
2026-06-12 00:56:28.767133 - HEAD_LEFT: Moved left by 22.3px
2026-06-12 00:56:28.888186 - HEAD_RIGHT: Moved right by 15.0px
2026-06-12 00:56:29.003521 - HEAD_RIGHT: Moved right by 26.4px
2026-06-12 00:56:29.121447 - HEAD_RIGHT: Moved right by 11.2px
2026-06-12 00:56:29.249265 - HEAD_LEFT: Moved left by 14.9px
2026-06-12 00:56:29.474216 - HEAD_LEFT: Moved left by 12.9px
2026-06-12 00:56:29.594842 - HEAD_RIGHT: Moved right by 17.8px
2026-06-12 00:56:29.714298 - HEAD_LEFT: Moved left by 17.1px
2026-06-12 00:56:29.714298 - SMILE: Smile detected (ratio: 126.47)
2026-06-12 00:56:29.837088 - HEAD_LEFT: Moved left by 33.8px
2026-06-12 00:56:30.064603 - SMILE: Smile detected (ratio: 76.53)
2026-06-12 00:56:30.186616 - HEAD_RIGHT: Moved right by 11.6px
2026-06-12 00:56:30.302920 - HEAD_RIGHT: Moved right by 43.5px
2026-06-12 00:56:30.521681 - HEAD_LEFT: Moved left by 29.9px
2026-06-12 00:56:30.521681 - SMILE: Smile detected (ratio: 3342.95)
2026-06-12 00:56:30.654949 - HEAD_LEFT: Moved left by 32.7px
2026-06-12 00:56:30.781870 - SMILE: Smile detected (ratio: 96.05)
2026-06-12 00:56:31.111585 - SMILE: Smile detected (ratio: 91.48)
2026-06-12 00:56:31.667946 - HEAD_LEFT: Moved left by 13.8px
2026-06-12 00:56:31.793438 - HEAD_LEFT: Moved left by 14.8px
2026-06-12 00:56:32.025463 - HEAD_LEFT: Moved left by 39.5px
2026-06-12 00:56:32.144145 - HEAD_LEFT: Moved left by 11.9px
2026-06-12 00:56:32.261268 - HEAD_LEFT: Moved left by 12.2px
2026-06-12 00:56:32.371330 - HEAD_LEFT: Moved left by 12.9px
2026-06-12 00:56:32.966682 - HEAD_RIGHT: Moved right by 20.0px
2026-06-12 00:56:33.099956 - HEAD_RIGHT: Moved right by 17.6px
2026-06-12 00:56:33.319191 - HEAD_LEFT: Moved left by 36.0px
2026-06-12 00:56:33.426517 - HEAD_LEFT: Moved left by 18.6px
2026-06-12 00:56:33.535744 - HEAD_LEFT: Moved left by 34.7px
2026-06-12 00:56:33.963216 - HEAD_LEFT: Moved left by 57.9px
2026-06-12 00:56:34.099887 - HEAD_LEFT: Moved left by 29.5px
2026-06-12 00:56:34.317871 - HEAD_RIGHT: Moved right by 13.4px
2026-06-12 00:56:37.097995 - HEAD_RIGHT: Moved right by 31.3px
2026-06-12 00:56:37.097995 - SMILE: Smile detected (ratio: 25.40)
2026-06-12 00:56:37.236891 - HEAD_RIGHT: Moved right by 12.5px
2026-06-12 00:56:37.609630 - HEAD_RIGHT: Moved right by 21.6px
2026-06-12 00:56:37.727232 - SMILE: Smile detected (ratio: 40.09)
2026-06-12 00:56:37.848589 - HEAD_LEFT: Moved left by 12.5px
2026-06-12 00:56:37.971502 - HEAD_LEFT: Moved left by 53.3px
2026-06-12 00:56:38.404326 - HEAD_LEFT: Moved left by 15.6px
2026-06-12 00:56:38.526261 - HEAD_RIGHT: Moved right by 76.4px
2026-06-12 00:56:38.761490 - HEAD_RIGHT: Moved right by 34.8px
2026-06-12 00:56:39.064750 - HEAD_RIGHT: Moved right by 19.1px
2026-06-12 00:56:39.473294 - HEAD_RIGHT: Moved right by 19.0px
2026-06-12 00:56:39.807129 - HEAD_RIGHT: Moved right by 17.7px
2026-06-12 00:56:40.198095 - HEAD_RIGHT: Moved right by 67.1px
2026-06-12 00:56:40.370832 - HEAD_RIGHT: Moved right by 43.9px
2026-06-12 00:56:40.370832 - SMILE: Smile detected (ratio: 72.20)
2026-06-12 00:56:40.525977 - HEAD_RIGHT: Moved right by 52.2px
2026-06-12 00:56:40.646028 - HEAD_RIGHT: Moved right by 69.9px
2026-06-12 00:56:40.646028 - SMILE: Smile detected (ratio: 258.64)
2026-06-12 00:56:40.777907 - HEAD_RIGHT: Moved right by 103.5px
2026-06-12 00:56:40.898077 - HEAD_RIGHT: Moved right by 64.7px
2026-06-12 00:56:41.025150 - HEAD_RIGHT: Moved right by 49.0px
2026-06-12 00:56:42.795033 - HEAD_RIGHT: Moved right by 12.2px
2026-06-12 00:56:42.939787 - HEAD_LEFT: Moved left by 40.5px
2026-06-12 00:56:42.939787 - SMILE: Smile detected (ratio: 19.04)
2026-06-12 00:56:43.106754 - HEAD_LEFT: Moved left by 59.5px
2026-06-12 00:56:43.225542 - HEAD_LEFT: Moved left by 24.9px
2026-06-12 00:56:43.225542 - SMILE: Smile detected (ratio: 57.23)
2026-06-12 00:56:43.470541 - HEAD_LEFT: Moved left by 18.8px
2026-06-12 00:56:43.599657 - SMILE: Smile detected (ratio: 145.24)
2026-06-12 00:56:44.177708 - SMILE: Smile detected (ratio: 63.07)
2026-06-12 00:56:44.312856 - SMILE: Smile detected (ratio: 141.29)
2026-06-12 00:56:44.917455 - SMILE: Smile detected (ratio: 73.97)
2026-06-12 00:56:45.686195 - SMILE: Smile detected (ratio: 70.64)
2026-06-12 00:56:46.397431 - SMILE: Smile detected (ratio: 579.41)
2026-06-12 00:56:48.321402 - HEAD_LEFT: Moved left by 338.9px
2026-06-12 00:56:48.321402 - EYE_BLINK: Blink detected
2026-06-12 00:56:48.450006 - HEAD_RIGHT: Moved right by 10.2px
2026-06-12 00:56:48.574630 - HEAD_RIGHT: Moved right by 27.3px
2026-06-12 00:56:48.574630 - SMILE: Smile detected (ratio: 45.18)
2026-06-12 00:56:48.697013 - SMILE: Smile detected (ratio: 98.11)
2026-06-12 00:56:48.813730 - HEAD_LEFT: Moved left by 25.8px
2026-06-12 00:56:49.055350 - SMILE: Smile detected (ratio: 60.25)
2026-06-12 00:56:49.169072 - HEAD_RIGHT: Moved right by 21.4px
