2026-02-06 15:00:27.114137 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 15:00:28.391391 - HEAD_LEFT: Moved left by 16.1px
2026-02-06 15:00:28.556772 - HEAD_LEFT: Moved left by 22.1px
2026-02-06 15:00:28.678918 - HEAD_LEFT: Moved left by 25.4px
2026-02-06 15:00:28.793470 - HEAD_LEFT: Moved left by 65.2px
2026-02-06 15:00:28.919234 - HEAD_LEFT: Moved left by 46.8px
2026-02-06 15:00:29.017654 - HEAD_RIGHT: Moved right by 760.6px
2026-02-06 15:00:29.017654 - SMILE: Smile detected (ratio: 33.63)
2026-02-06 15:00:29.107883 - SMILE: Smile detected (ratio: 61.71)
2026-02-06 15:00:31.422810 - HEAD_LEFT: Moved left by 660.9px
2026-02-06 15:00:31.593379 - HEAD_RIGHT: Moved right by 38.3px
2026-02-06 15:00:31.765852 - HEAD_RIGHT: Moved right by 51.4px
2026-02-06 15:00:31.930319 - HEAD_RIGHT: Moved right by 13.9px
2026-02-06 15:00:39.000298 - SMILE: Smile detected (ratio: 14.36)
2026-02-06 15:00:40.029585 - SMILE: Smile detected (ratio: 21.46)
2026-02-06 15:00:41.046840 - HEAD_LEFT: Moved left by 14.0px
