2026-02-06 13:08:47.449703 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 13:08:47.807628 - SMILE: Smile detected (ratio: 88.74)
2026-02-06 13:08:47.879642 - SMILE: Smile detected (ratio: 400.69)
2026-02-06 13:08:48.089691 - SMILE: Smile detected (ratio: 186.30)
2026-02-06 13:08:48.162096 - SMILE: Smile detected (ratio: 304.27)
2026-02-06 13:08:48.310577 - SMILE: Smile detected (ratio: 118.81)
2026-02-06 13:08:48.514764 - HEAD_RIGHT: Moved right by 230.1px
2026-02-06 13:08:48.514764 - EYE_BLINK: Blink detected
2026-02-06 13:08:48.573116 - HEAD_LEFT: Moved left by 225.9px
2026-02-06 13:08:48.573116 - SMILE: Smile detected (ratio: 275.71)
2026-02-06 13:08:48.658408 - HEAD_RIGHT: Moved right by 20.4px
2026-02-06 13:08:48.709644 - SMILE: Smile detected (ratio: 178.28)
2026-02-06 13:08:49.351247 - SMILE: Smile detected (ratio: 127.58)
2026-02-06 13:08:49.459977 - HEAD_LEFT: Moved left by 18.0px
2026-02-06 13:08:49.549582 - HEAD_LEFT: Moved left by 11.8px
2026-02-06 13:08:49.549582 - SMILE: Smile detected (ratio: 166.35)
2026-02-06 13:08:49.629320 - HEAD_LEFT: Moved left by 12.5px
2026-02-06 13:08:49.629320 - SMILE: Smile detected (ratio: 486.00)
2026-02-06 13:08:49.689939 - HEAD_LEFT: Moved left by 11.0px
2026-02-06 13:08:49.771268 - HEAD_LEFT: Moved left by 18.1px
2026-02-06 13:08:49.918827 - HEAD_LEFT: Moved left by 22.3px
2026-02-06 13:08:50.174284 - HEAD_RIGHT: Moved right by 300.4px
2026-02-06 13:08:50.174284 - EYE_BLINK: Blink detected
2026-02-06 13:08:50.174284 - SMILE: Smile detected (ratio: 56.85)
2026-02-06 13:08:50.238822 - HEAD_LEFT: Moved left by 309.6px
2026-02-06 13:08:50.303610 - HEAD_RIGHT: Moved right by 309.9px
2026-02-06 13:08:50.303610 - EYE_BLINK: Blink detected
2026-02-06 13:08:50.303610 - SMILE: Smile detected (ratio: 87.59)
2026-02-06 13:08:50.648736 - HEAD_LEFT: Moved left by 303.5px
2026-02-06 13:08:50.727703 - HEAD_RIGHT: Moved right by 14.8px
2026-02-06 13:08:50.727703 - SMILE: Smile detected (ratio: 25.50)
2026-02-06 13:08:50.958563 - HEAD_RIGHT: Moved right by 14.8px
2026-02-06 13:08:51.104750 - SMILE: Smile detected (ratio: 66.03)
2026-02-06 13:08:51.150390 - SMILE: Smile detected (ratio: 145.16)
2026-02-06 13:08:51.456884 - SMILE: Smile detected (ratio: 95.85)
2026-02-06 13:08:51.701449 - SMILE: Smile detected (ratio: 118.05)
2026-02-06 13:08:51.798519 - SMILE: Smile detected (ratio: 198.84)
2026-02-06 13:08:51.940546 - HEAD_RIGHT: Moved right by 17.5px
2026-02-06 13:08:51.940546 - SMILE: Smile detected (ratio: 183.66)
2026-02-06 13:08:52.172510 - SMILE: Smile detected (ratio: 51.64)
2026-02-06 13:08:52.963096 - HEAD_LEFT: Moved left by 14.7px
2026-02-06 13:08:52.963096 - SMILE: Smile detected (ratio: 570.60)
2026-02-06 13:08:53.220261 - HEAD_LEFT: Moved left by 14.6px
