2026-02-06 14:00:03.207423 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 14:00:03.604573 - SMILE: Smile detected (ratio: 70.19)
2026-02-06 14:00:03.686749 - SMILE: Smile detected (ratio: 161.38)
2026-02-06 14:00:04.012175 - SMILE: Smile detected (ratio: 807.65)
2026-02-06 14:00:04.528066 - HEAD_RIGHT: Moved right by 23.4px
2026-02-06 14:00:04.715243 - SMILE: Smile detected (ratio: 47.96)
2026-02-06 14:00:04.894315 - HEAD_LEFT: Moved left by 32.6px
2026-02-06 14:00:04.985779 - SMILE: Smile detected (ratio: 218.55)
2026-02-06 14:00:05.099494 - HEAD_LEFT: Moved left by 32.8px
2026-02-06 14:00:05.330371 - SMILE: Smile detected (ratio: 63.82)
2026-02-06 14:00:05.423195 - HEAD_RIGHT: Moved right by 36.2px
2026-02-06 14:00:05.556386 - HEAD_LEFT: Moved left by 160.0px
2026-02-06 14:00:05.706438 - HEAD_RIGHT: Moved right by 190.6px
2026-02-06 14:00:05.706438 - SMILE: Smile detected (ratio: 85.72)
2026-02-06 14:00:05.893691 - HEAD_LEFT: Moved left by 33.3px
2026-02-06 14:00:05.893691 - SMILE: Smile detected (ratio: 139.78)
2026-02-06 14:00:06.041885 - HEAD_LEFT: Moved left by 334.3px
2026-02-06 14:00:06.161177 - HEAD_RIGHT: Moved right by 290.0px
2026-02-06 14:00:06.281252 - HEAD_RIGHT: Moved right by 30.1px
2026-02-06 14:00:06.406494 - HEAD_RIGHT: Moved right by 24.0px
2026-02-06 14:00:06.406494 - SMILE: Smile detected (ratio: 100.99)
2026-02-06 14:00:06.729096 - HEAD_LEFT: Moved left by 22.4px
2026-02-06 14:00:06.729096 - SMILE: Smile detected (ratio: 66.40)
2026-02-06 14:00:06.892935 - HEAD_LEFT: Moved left by 25.4px
2026-02-06 14:00:07.014358 - HEAD_LEFT: Moved left by 11.3px
2026-02-06 14:00:07.241356 - HEAD_RIGHT: Moved right by 20.7px
2026-02-06 14:00:07.355032 - HEAD_RIGHT: Moved right by 14.6px
2026-02-06 14:00:07.528172 - SMILE: Smile detected (ratio: 38.03)
