2026-02-06 13:15:33.609843 - FACE_LOCKED: Face locked: Dieudonne
2026-02-06 13:15:33.890179 - SMILE: Smile detected (ratio: 60.87)
2026-02-06 13:15:34.056134 - SMILE: Smile detected (ratio: 88.50)
2026-02-06 13:15:34.854624 - HEAD_RIGHT: Moved right by 14.4px
2026-02-06 13:15:34.969246 - SMILE: Smile detected (ratio: 50.15)
2026-02-06 13:15:35.106349 - HEAD_RIGHT: Moved right by 25.0px
2026-02-06 13:15:35.212891 - SMILE: Smile detected (ratio: 88.35)
2026-02-06 13:15:35.268985 - SMILE: Smile detected (ratio: 5678.82)
2026-02-06 13:15:35.768596 - HEAD_LEFT: Moved left by 26.1px
2026-02-06 13:15:35.851836 - SMILE: Smile detected (ratio: 66.67)
2026-02-06 13:15:35.980935 - SMILE: Smile detected (ratio: 40.30)
2026-02-06 13:15:36.069578 - HEAD_RIGHT: Moved right by 10.8px
2026-02-06 13:15:36.181659 - SMILE: Smile detected (ratio: 123.96)
2026-02-06 13:15:36.243532 - SMILE: Smile detected (ratio: 617.75)
2026-02-06 13:15:36.372051 - SMILE: Smile detected (ratio: 235.04)
2026-02-06 13:15:36.497752 - SMILE: Smile detected (ratio: 257.91)
2026-02-06 13:15:36.561477 - HEAD_LEFT: Moved left by 10.5px
2026-02-06 13:15:36.747201 - SMILE: Smile detected (ratio: 388.25)
2026-02-06 13:15:36.808211 - HEAD_LEFT: Moved left by 13.9px
2026-02-06 13:15:37.179073 - SMILE: Smile detected (ratio: 152.75)
2026-02-06 13:15:37.704999 - SMILE: Smile detected (ratio: 497.50)
2026-02-06 13:15:37.872033 - SMILE: Smile detected (ratio: 302.82)
2026-02-06 13:15:38.120369 - SMILE: Smile detected (ratio: 88.07)
2026-02-06 13:15:39.117208 - SMILE: Smile detected (ratio: 179.60)
2026-02-06 13:15:39.294574 - SMILE: Smile detected (ratio: 68.42)
2026-02-06 13:15:39.351494 - SMILE: Smile detected (ratio: 6016.61)
2026-02-06 13:15:40.711287 - SMILE: Smile detected (ratio: 146.18)
2026-02-06 13:15:40.958368 - SMILE: Smile detected (ratio: 125.91)
2026-02-06 13:15:41.260641 - SMILE: Smile detected (ratio: 75.62)
